DMU,efficiency,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,,,,,,,,,,
112,1,0,0.02,0,0,0.067,0.041,0.083,0,0,112,0,3,8,9,14,0,12,12,0.015,,,112,0.000%,6.012%,0.000%,0.000%,93.988%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
113,0.778,0.007,0.009,0.085,0.008,0,0,0.032,0.033,0,113,8,12,9,9,21,8,12,12,0.05,,,113,5.594%,10.789%,76.424%,7.193%,0.000%,0.000%,49.231%,50.769%,0.000%,,,,,,,,,,,,
114,0.75,0,0.004,0.078,0.025,0,0,0,0.062,0.001,114,16,16,9,9,21,24,12,12,0.48,,,114,0.000%,6.458%,70.838%,22.704%,0.000%,0.000%,0.000%,99.936%,0.064%,,,,,,,,,,,,
115,1,0,0.013,0.066,0,0.013,0,0.033,0.03,0,115,8,16,9,9,15,0,16,16,0.1,,,115,0.000%,20.863%,59.579%,0.000%,19.559%,0.000%,52.381%,47.619%,0.000%,,,,,,,,,,,,
116,0.875,0,0,0.111,0,0,0,0,0.063,0,116,16,17,9,9,21,10,12,14,0.11,,,116,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
117,1,0,0,0.111,0,0,0,0.063,0,0,117,16,17,9,9,28,15,16,15,0.47,,,117,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
118,0.584,0.006,0.007,0.053,0.015,0,0,0.012,0.037,0.008,118,10,17,12,12,23,9,12,12,0.39,,,118,6.030%,11.960%,63.920%,18.090%,0.000%,0.000%,24.361%,75.112%,0.528%,,,,,,,,,,,,
119,1,0,0,0.111,0,0,0,0.063,0,0,119,17,15,9,10,21,14,16,16,0.3,,,119,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
120,1,0,0.016,0.032,0.03,0.012,0,0.024,0.037,0.011,120,16,10,9,10,21,8,16,16,1,,,120,0.000%,16.000%,28.800%,30.000%,25.200%,0.000%,38.906%,59.980%,1.114%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,PROMEDIO,1.059%,4.093%,78.661%,7.839%,8.207%,0.141%,50.591%,48.422%,0.988%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,MEDIAna,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,48.809%,49.627%,0.000%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Max,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Min,38.438%,28.743%,100.000%,60.714%,95.775%,11.912%,100.000%,100.000%,58.271%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Desvicion,0.042536305,0.068367524,0.334510811,0.153270086,0.197078743,0.011306223,0.468185878,0.468699003,0.065255947,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,curtosis,51.79812461,2.95659927,0.788841845,3.21026761,8.495821184,101.0942337,-1.890400311,-1.888754116,61.15784585,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Coefi,6.529897855,1.875731672,-1.463748984,2.002451359,2.885776315,9.799224258,-0.025496924,0.060442011,7.697040511,,,,,,,,,,,,
