DMU,efficiency,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,DMU,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,,,,,,,,,,
23,0.75,0,0,0.111,0,0,0,0,0.063,0,23,24,18,9,9,21,24,12,12,0.6,,,23,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
24,0.75,0,0,0.111,0,0,0,0.062,0,0,24,24,18,9,9,21,24,12,12,1.8,,,24,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
25,0.75,0,0,0.111,0,0,0,0,0.063,0,25,24,18,9,9,21,24,12,12,1.2,,,25,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
26,0.75,0,0,0.111,0,0,0,0,0.063,0,26,24,18,9,9,21,24,12,12,0.4,,,26,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
27,0.75,0,0,0.111,0,0,0,0,0.063,0,27,24,18,9,9,21,24,12,12,0.8,,,27,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
28,0.75,0,0,0.111,0,0,0,0,0.063,0,28,24,18,9,9,21,24,12,12,0.8,,,28,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
29,0.75,0,0,0.111,0,0,0,0,0.063,0,29,24,18,9,9,21,24,12,12,0.8,,,29,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
30,0.75,0,0,0.111,0,0,0,0.062,0,0,30,24,18,9,9,21,24,12,12,0.05,,,30,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
31,0.75,0,0,0.111,0,0,0,0,0.063,0,31,24,18,9,9,21,24,12,12,1.5,,,31,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
32,0.75,0,0,0.111,0,0,0,0.062,0,0,32,24,18,9,9,21,24,12,12,0,,,32,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
33,0.75,0,0,0.111,0,0,0,0.062,0,0,33,24,18,9,9,21,24,12,12,0,,,33,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
34,0.75,0,0,0.111,0,0,0,0.062,0,0,34,24,18,9,9,21,24,12,12,0,,,34,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
35,0.75,0,0,0.111,0,0,0,0.062,0,0,35,24,18,9,9,21,24,12,12,0,,,35,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
36,0.75,0,0,0.111,0,0,0,0.062,0,0,36,24,18,9,9,21,24,12,12,0,,,36,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
37,0.75,0,0.001,0.104,0.005,0,0,0.06,0.002,0,37,24,16,9,9,21,23,12,12,0,,,37,0.000%,1.605%,93.882%,4.514%,0.000%,0.000%,96.774%,3.226%,0.000%,,,,,,,,,,,,
38,0.75,0,0,0.111,0,0,0,0.063,0,0,38,24,18,9,9,22,24,12,12,0,,,38,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
39,0.75,0,0,0.111,0,0,0,0,0.063,0,39,24,18,9,9,21,16,4,12,0,,,39,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
40,0.75,0,0,0.111,0,0,0,0.062,0,0,40,24,18,9,9,21,24,12,12,0.1,,,40,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
41,0.75,0,0,0.111,0,0,0,0,0.063,0,41,24,18,9,9,21,24,12,12,1.2,,,41,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,0.000%,100.000%,0.000%,,,,,,,,,,,,
42,0.75,0,0,0.111,0,0,0,0.062,0,0,42,24,18,9,9,21,24,12,12,0,,,42,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
43,0.75,0,0,0.111,0,0,0,0.062,0,0,43,24,18,9,9,21,24,12,12,0,,,43,0.000%,0.000%,100.000%,0.000%,0.000%,0.000%,100.000%,0.000%,0.000%,,,,,,,,,,,,
