radial,AG,EN,CH,CS,IN,MF,,holgura,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,mejora potencial,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,AG,EN,CH,CS,IN,MF,DS1,DS2,DE
,-6,-4.5,-2.25,-2.25,-5.25,-6,,41,10.18,1.27,0,0,3.82,15.27,3,3,0.3,,41,-16.18,-5.77,-2.25,-2.25,-9.07,-21.27,3,3,0.3,,41,24,18,9,9,21,24,12,12,1.2,,41,-67%,-32%,-25%,-25%,-43%,-89%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,42,0,0,0,0,0,0,3,3,7.5,,42,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,42,24,18,9,9,21,24,12,12,0,,42,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,43,0,0,0,0,0,0,3,3,7.5,,43,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,43,24,18,9,9,21,24,12,12,0,,43,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,44,0,0,0,0,0,0,3,3,7.5,,44,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,44,24,18,9,9,21,24,12,12,0,,44,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,45,0,0,0,0,0,0,3,3,7.5,,45,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,45,24,18,9,9,21,24,12,12,0,,45,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,46,0,0,0,0,0,0,3,3,7.5,,46,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,46,24,18,9,9,21,24,12,12,0,,46,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,47,0,0,0,0,0,0,3,3,7.5,,47,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,47,24,18,9,9,21,24,12,12,0,,47,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6.5,-4.5,-2.25,-2.25,-5.25,-6.25,,48,1.5,0,0,0,0,0.75,3,3,7.44,,48,-8,-4.5,-2.25,-2.25,-5.25,-7,3,3,7.44,,48,26,18,9,9,21,25,12,12,0.08,,48,-31%,-25%,-25%,-25%,-25%,-28%,25%,25%,9300%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,49,0,0,0,0,0,0,3,3,7.5,,49,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,49,24,18,9,9,21,24,12,12,0,,49,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,50,0,0,0,0,0,0,3,3,7.5,,50,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,50,24,18,9,9,21,24,12,12,0,,50,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,51,0,0,0,0,0,0,3,3,7.5,,51,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,51,24,18,9,9,21,24,12,12,0,,51,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,52,0,0,0,0,0,0,3,3,7.5,,52,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,52,24,18,9,9,21,24,12,12,0,,52,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,53,0,0,0,0,0,0,3,3,7.5,,53,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,53,24,18,9,9,21,24,12,12,0,,53,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,54,10.83,1.35,0,0,4.06,16.24,3,3,0.2,,54,-16.83,-5.85,-2.25,-2.25,-9.31,-22.24,3,3,0.2,,54,24,18,9,9,21,24,12,12,0.8,,54,-70%,-33%,-25%,-25%,-44%,-93%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,55,0,0,0,0,0,0,3,3,7.5,,55,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,55,24,18,9,9,21,24,12,12,0,,55,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,56,0,0,0,0,0,0,3,3,7.5,,56,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,56,24,18,9,9,21,24,12,12,0,,56,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,57,0,0,0,0,0,0,3,3,7.5,,57,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,57,24,18,9,9,21,24,12,12,0,,57,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,58,10.18,1.27,0,0,3.82,15.27,3,3,0.3,,58,-16.18,-5.77,-2.25,-2.25,-9.07,-21.27,3,3,0.3,,58,24,18,9,9,21,24,12,12,1.2,,58,-67%,-32%,-25%,-25%,-43%,-89%,25%,25%,25%
,-6,-4.5,-2.25,-2.25,-5.25,-6,,59,0,0,0,0,0,0,3,3,7.5,,59,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,59,24,18,9,9,21,24,12,12,0,,59,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,60,0,0,0,0,0,0,3,3,7.5,,60,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,60,24,18,9,9,21,24,12,12,0,,60,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,61,0,0,0,0,0,0,3,3,7.5,,61,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,61,24,18,9,9,21,24,12,12,0,,61,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,62,0,0,0,0,0,0,3,3,7.5,,62,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,62,24,18,9,9,21,24,12,12,0,,62,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,63,0,0,0,0,0,0,3,3,7.5,,63,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,63,24,18,9,9,21,24,12,12,0,,63,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-6,-4.5,-2.25,-2.25,-5.25,-6,,64,0,0,0,0,0,0,3,3,7.5,,64,-6,-4.5,-2.25,-2.25,-5.25,-6,3,3,7.5,,64,24,18,9,9,21,24,12,12,0,,64,-25%,-25%,-25%,-25%,-25%,-25%,25%,25%,#¡DIV/0!
,-1.87,-1.02,-1.7,-1.53,-3.4,-2.72,,65,4.78,0,0.58,0,0.01,12.84,3.17,2.04,0.02,,65,-6.65,-1.02,-2.28,-1.53,-3.41,-15.56,3.17,2.04,0.02,,65,11,6,10,9,20,16,11,12,0.1,,65,-60%,-17%,-23%,-17%,-17%,-97%,29%,17%,17%
