radial,AG,EN,CH,CS,IN,MF,,holgura,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,mejora potencial,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,AG,EN,CH,CS,IN,MF,DS1,DS2,DE,,,AG,EN,CH,CS,IN,MF,DS1,DS2,DE
,-1.1,-0.7,-0.7,-0.9,-2.2,-1,,85,9.9,6.3,6.3,8.1,19.8,9,-9.9,-9.9,-0.03,,85,-11,-7,-7,-9,-22,-10,-9.9,-9.9,-0.03,,85,11,7,7,9,22,10,11,11,0.03,,85,-100%,-100%,-100%,-100%,-100%,-100%,-90%,-90%,-90%
,-0.88,-1.58,-1.58,-1.58,-4.73,-1.23,,87,4.13,7.43,7.43,7.43,22.28,5.78,-9.9,-9.9,-0.12,,87,-5,-9,-9,-9,-27,-7,-9.9,-9.9,-0.12,,87,5,9,9,9,27,7,12,12,0.15,,87,-100%,-100%,-100%,-100%,-100%,-100%,-83%,-83%,-83%
,-0.94,-1.73,-1.41,-1.57,-2.04,-1.26,,88,5.06,9.27,7.59,8.43,10.96,6.74,-10.12,-10.12,-0.08,,88,-6,-11,-9,-10,-13,-8,-10.12,-10.12,-0.08,,88,6,11,9,10,13,8,12,12,0.1,,88,-100%,-100%,-100%,-100%,-100%,-100%,-84%,-84%,-84%
,-7.15,-5.2,-3.25,-3.9,-6.5,-8.13,,89,14.85,10.8,6.75,8.1,13.5,16.88,-8.1,-8.1,-0.64,,89,-22,-16,-10,-12,-20,-25,-8.1,-8.1,-0.64,,89,22,16,10,12,20,25,12,12,0.95,,89,-100%,-100%,-100%,-100%,-100%,-100%,-68%,-68%,-68%
,-5.54,-2.31,-2.08,-2.08,-6.01,-4.62,,90,18.46,7.69,6.92,6.92,19.99,15.38,-9.23,-9.23,-0.36,,90,-24,-10,-9,-9,-26,-20,-9.23,-9.23,-0.36,,90,24,10,9,9,26,20,12,12,0.47,,90,-100%,-100%,-100%,-100%,-100%,-100%,-77%,-77%,-77%
,-6,-4,-2.25,-2.75,-5.25,-5.5,,92,18,12,6.75,8.25,15.75,16.5,-9,-9,-0.34,,92,-24,-16,-9,-11,-21,-22,-9,-9,-0.34,,92,24,16,9,11,21,22,12,12,0.45,,92,-100%,-100%,-100%,-100%,-100%,-100%,-75%,-75%,-75%
,-2.74,-1.69,-1.9,-1.9,-4.43,-1.9,,94,10.26,6.31,7.1,7.1,16.57,7.1,-8.68,-9.47,-0.32,,94,-13,-8,-9,-9,-21,-9,-8.68,-9.47,-0.32,,94,13,8,9,9,21,9,11,12,0.4,,94,-100%,-100%,-100%,-100%,-100%,-100%,-79%,-79%,-79%
,-4.35,-2.29,-2.06,-2.06,-4.81,-3.89,,95,14.65,7.71,6.94,6.94,16.19,13.11,-9.25,-9.25,-0.02,,95,-19,-10,-9,-9,-21,-17,-9.25,-9.25,-0.02,,95,19,10,9,9,21,17,12,12,0.03,,95,-100%,-100%,-100%,-100%,-100%,-100%,-77%,-77%,-77%
,-5.69,-2.84,-2.13,-2.13,-4.98,-3.08,,96,18.31,9.16,6.87,6.87,16.02,9.92,-9.16,-9.16,-0.31,,96,-24,-12,-9,-9,-21,-13,-9.16,-9.16,-0.31,,96,24,12,9,9,21,13,12,12,0.4,,96,-100%,-100%,-100%,-100%,-100%,-100%,-76%,-76%,-76%
,-0.2,-0.15,-0.23,-0.2,-0.35,-0.18,,97,7.8,5.85,8.78,7.8,13.65,6.83,-11.7,-11.7,-0.15,,97,-8,-6,-9,-8,-14,-7,-11.7,-11.7,-0.15,,97,8,6,9,8,14,7,12,12,0.15,,97,-100%,-100%,-100%,-100%,-100%,-100%,-98%,-98%,-98%
,-1.94,-1.62,-1.46,-1.46,-3.4,-2.27,,98,10.06,8.38,7.54,7.54,17.6,11.73,-10.89,-10.89,-0.32,,98,-12,-10,-9,-9,-21,-14,-10.89,-10.89,-0.32,,98,12,10,9,9,21,14,13,13,0.38,,98,-100%,-100%,-100%,-100%,-100%,-100%,-84%,-84%,-84%
,-2.79,-1.19,-1.79,-2.19,-4.18,-2.39,,99,11.21,4.81,7.21,8.81,16.82,9.61,-9.61,-9.61,-0.12,,99,-14,-6,-9,-11,-21,-12,-9.61,-9.61,-0.12,,99,14,6,9,11,21,12,12,12,0.15,,99,-100%,-100%,-100%,-100%,-100%,-100%,-80%,-80%,-80%
,-6,-4.25,-2.25,-2.25,-5.25,-5,,101,18,12.75,6.75,6.75,15.75,15,-9,-9,-0.23,,101,-24,-17,-9,-9,-21,-20,-9,-9,-0.23,,101,24,17,9,9,21,20,12,12,0.3,,101,-100%,-100%,-100%,-100%,-100%,-100%,-75%,-75%,-75%
,-6.54,-5.16,-4.13,-3.44,-7.22,-6.88,,102,12.46,9.84,7.87,6.56,13.78,13.12,-7.87,-7.87,-0.02,,102,-19,-15,-12,-10,-21,-20,-7.87,-7.87,-0.02,,102,19,15,12,10,21,20,12,12,0.026,,102,-100%,-100%,-100%,-100%,-100%,-100%,-66%,-66%,-66%
,-5.22,-8.7,-5.22,-5.22,-12.18,-6.96,,103,6.78,11.3,6.78,6.78,15.82,9.04,-6.78,-6.78,0,,103,-12,-20,-12,-12,-28,-16,-6.78,-6.78,0,,103,12,20,12,12,28,16,12,12,0,,103,-100%,-100%,-100%,-100%,-100%,-100%,-57%,-57%,#¡DIV/0!
,-6,-4.25,-2.25,-2.25,-5.25,-6.25,,104,18,12.75,6.75,6.75,15.75,18.75,-9,-9,-0.27,,104,-24,-17,-9,-9,-21,-25,-9,-9,-0.27,,104,24,17,9,9,21,25,12,12,0.36,,104,-100%,-100%,-100%,-100%,-100%,-100%,-75%,-75%,-75%
,-6,-4.25,-2.25,-2.25,-5,-6,,105,18,12.75,6.75,6.75,15,18,-9,-9,-0.59,,105,-24,-17,-9,-9,-20,-24,-9,-9,-0.59,,105,24,17,9,9,20,24,12,12,0.78,,105,-100%,-100%,-100%,-100%,-100%,-100%,-75%,-75%,-75%
,-3.3,-1.65,-1.85,-1.85,-4.33,-2.06,,106,12.7,6.35,7.15,7.15,16.67,7.94,-9.53,-9.53,-0.16,,106,-16,-8,-9,-9,-21,-10,-9.53,-9.53,-0.16,,106,16,8,9,9,21,10,12,12,0.2,,106,-100%,-100%,-100%,-100%,-100%,-100%,-79%,-79%,-79%
,-3.79,-2.84,-2.13,-2.13,-4.98,-3.56,,108,12.21,9.16,6.87,6.87,16.02,11.45,-9.16,-9.16,-0.69,,108,-16,-12,-9,-9,-21,-15,-9.16,-9.16,-0.69,,108,16,12,9,9,21,15,12,12,0.9,,108,-100%,-100%,-100%,-100%,-100%,-100%,-76%,-76%,-76%
,-1.83,-2.98,-2.06,-2.06,-3.89,-1.83,,109,6.17,10.02,6.94,6.94,13.11,6.17,-9.25,-9.25,-0.08,,109,-8,-13,-9,-9,-17,-8,-9.25,-9.25,-0.08,,109,8,13,9,9,17,8,12,12,0.1,,109,-100%,-100%,-100%,-100%,-100%,-100%,-77%,-77%,-77%
,-1.72,-2.5,-1.25,-1.4,-3.28,-2.5,,110,9.28,13.5,6.75,7.6,17.72,13.5,-10.13,-10.13,-0.25,,110,-11,-16,-8,-9,-21,-16,-10.13,-10.13,-0.25,,110,11,16,8,9,21,16,12,12,0.3,,110,-100%,-100%,-100%,-100%,-100%,-100%,-84%,-84%,-84%
,-4.03,-2.84,-2.13,-2.13,-6.16,-3.56,,111,12.97,9.16,6.87,6.87,19.84,11.45,-9.16,-9.16,-0.65,,111,-17,-12,-9,-9,-26,-15,-9.16,-9.16,-0.65,,111,17,12,9,9,26,15,12,12,0.85,,111,-100%,-100%,-100%,-100%,-100%,-100%,-76%,-76%,-76%
,-1.78,-2.66,-2,-2,-4.66,-1.78,,113,6.22,9.34,7,7,16.34,6.22,-9.34,-9.34,-0.04,,113,-8,-12,-9,-9,-21,-8,-9.34,-9.34,-0.04,,113,8,12,9,9,21,8,12,12,0.05,,113,-100%,-100%,-100%,-100%,-100%,-100%,-78%,-78%,-78%
,-4,-4,-2.25,-2.25,-5.25,-6,,114,12,12,6.75,6.75,15.75,18,-9,-9,-0.36,,114,-16,-16,-9,-9,-21,-24,-9,-9,-0.36,,114,16,16,9,9,21,24,12,12,0.48,,114,-100%,-100%,-100%,-100%,-100%,-100%,-75%,-75%,-75%
,-2,-2.13,-1.13,-1.13,-2.63,-1.25,,116,14,14.88,7.88,7.88,18.38,8.75,-10.5,-12.25,-0.1,,116,-16,-17,-9,-9,-21,-10,-10.5,-12.25,-0.1,,116,16,17,9,9,21,10,12,14,0.11,,116,-100%,-100%,-100%,-100%,-100%,-100%,-88%,-88%,-88%
,-4.16,-7.07,-4.99,-4.99,-9.57,-3.74,,118,5.84,9.93,7.01,7.01,13.43,5.26,-7.01,-7.01,-0.23,,118,-10,-17,-12,-12,-23,-9,-7.01,-7.01,-0.23,,118,10,17,12,12,23,9,12,12,0.39,,118,-100%,-100%,-100%,-100%,-100%,-100%,-58%,-58%,-58%
